No Soal,Part Nama,Nama File Audio,Kunci Jawaban,Pilihan A,Pilihan B,Pilihan C,Pilihan D,Audio Script,Pertanyaan,Penjelasan Lengkap
1,Part B: Long Conversation,listening_simulation_1.mp3,A,She is struggling to meet the tight deadline set by the executive board.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the client's presentation slides? 
Woman: Yes, but I am struggling to meet the tight deadline set by the executive board. 
Man: Don't worry. Let's grab lunch and we can request a temporary extension from the management together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu struggling to meet the tight deadline set by the executive board.
2,Part B: Long Conversation,listening_simulation_1.mp3,B,Cancel the project entirely.,Eat lunch and request a temporary extension from the management.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the client's presentation slides? 
Woman: Yes, but I am struggling to meet the tight deadline set by the executive board. 
Man: Don't worry. Let's grab lunch and we can request a temporary extension from the management together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu request a temporary extension from the management.
3,Part B: Long Conversation,listening_simulation_2.mp3,A,She is drowning under the immense workload this week.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the office relocation plan? 
Woman: Yes, but I am drowning under the immense workload this week. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu drowning under the immense workload this week.
4,Part B: Long Conversation,listening_simulation_2.mp3,B,Cancel the project entirely.,Eat lunch and delegate the administrative tasks to the assistant.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the office relocation plan? 
Woman: Yes, but I am drowning under the immense workload this week. 
Man: Don't worry. Let's grab lunch and we can delegate the administrative tasks to the assistant together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu delegate the administrative tasks to the assistant.
5,Part C: Academic Talks,listening_simulation_3.mp3,A,A comprehensive analysis of the impact of artificial intelligence on logistics.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the impact of artificial intelligence on logistics.
6,Part C: Academic Talks,listening_simulation_3.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
7,Part B: Long Conversation,listening_simulation_4.mp3,A,She is drowning under the immense workload this week.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am drowning under the immense workload this week. 
Man: Don't worry. Let's grab lunch and we can review the training video manual sent by the coordinator together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu drowning under the immense workload this week.
8,Part B: Long Conversation,listening_simulation_4.mp3,B,Cancel the project entirely.,Eat lunch and review the training video manual sent by the coordinator.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the recruitment interview schedule? 
Woman: Yes, but I am drowning under the immense workload this week. 
Man: Don't worry. Let's grab lunch and we can review the training video manual sent by the coordinator together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu review the training video manual sent by the coordinator.
9,Part C: Academic Talks,listening_simulation_5.mp3,A,A comprehensive analysis of the impact of artificial intelligence on logistics.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the impact of artificial intelligence on logistics.
10,Part C: Academic Talks,listening_simulation_5.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
